locomotive,id,data,gps,timestamp
6025,1934761.0,"{""egu"": {""data"": [335.5, 12.8671875, 349.546875, 3.5078125, 342.859375, 14.2734375, 221.875, 0.5004887585532747], ""timestamp"": ""2025-02-16T23:43:02.350884+00:00""}, ""cab"": {""data"": [""N0"", ""MARCHA"", ""0"", 69, 48], ""timestamp"": ""2025-02-16T23:43:02.350884+00:00""}, ""exc"": {""data"": [5.0, 4.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1024.0, 0.0, 1.0], ""timestamp"": ""2025-02-16T23:43:02.350884+00:00""}}","{""gps_timestamp"": ""2025-02-16T23:43:02"", ""gps_status"": ""A"", ""gps_lat"": -19.494432233333335, ""gps_lon"": -46.48614301666667, ""gps_mag_variation"": ""16.7"", ""gps_mag_var_dir"": ""W"", ""gps_speed_on_ground"": 16.9, ""gps_true_course"": 90.6}",2025-02-16T23:43:03
6025,1934762.0,"{""egu"": {""data"": [335.375, 12.8046875, 349.546875, 3.4609375, 342.75, 14.2734375, 221.5, 0.5004887585532747], ""timestamp"": ""2025-02-16T23:43:03.355299+00:00""}, ""cab"": {""data"": [""N0"", ""MARCHA"", ""0"", 69, 48], ""timestamp"": ""2025-02-16T23:43:03.355299+00:00""}, ""exc"": {""data"": [5.0, 4.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1024.0, 0.0, 1.0], ""timestamp"": ""2025-02-16T23:43:03.355299+00:00""}}","{""gps_timestamp"": ""2025-02-16T23:43:03"", ""gps_status"": ""A"", ""gps_lat"": -19.494434283333334, ""gps_lon"": -46.4860623, ""gps_mag_variation"": ""16.7"", ""gps_mag_var_dir"": ""W"", ""gps_speed_on_ground"": 16.7, ""gps_true_course"": 90.4}",2025-02-16T23:43:04
6025,1934763.0,"{""egu"": {""data"": [335.8125, 12.8359375, 349.546875, 3.4609375, 343.5, 14.2734375, 223.875, 0.5004887585532747], ""timestamp"": ""2025-02-16T23:43:04.377798+00:00""}, ""cab"": {""data"": [""N0"", ""MARCHA"", ""0"", 69, 48], ""timestamp"": ""2025-02-16T23:43:04.377798+00:00""}, ""exc"": {""data"": [5.0, 4.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1024.0, 0.0, 1.0], ""timestamp"": ""2025-02-16T23:43:04.377798+00:00""}}","{""gps_timestamp"": ""2025-02-16T23:43:04"", ""gps_status"": ""A"", ""gps_lat"": -19.49443515, ""gps_lon"": -46.48598116666667, ""gps_mag_variation"": ""16.7"", ""gps_mag_var_dir"": ""W"", ""gps_speed_on_ground"": 17.0, ""gps_true_course"": 90.7}",2025-02-16T23:43:05
6025,1934764.0,"{""egu"": {""data"": [335.6875, 12.9296875, 349.546875, 3.4140625, 344.640625, 14.21875, 218.875, 0.5004887585532747], ""timestamp"": ""2025-02-16T23:43:05.395413+00:00""}, ""cab"": {""data"": [""N0"", ""MARCHA"", ""0"", 69, 48], ""timestamp"": ""2025-02-16T23:43:05.395413+00:00""}, ""exc"": {""data"": [5.0, 3.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1024.0, 0.0, 1.0], ""timestamp"": ""2025-02-16T23:43:05.395413+00:00""}}","{""gps_timestamp"": ""2025-02-16T23:43:05"", ""gps_status"": ""A"", ""gps_lat"": -19.494437683333334, ""gps_lon"": -46.48590168333333, ""gps_mag_variation"": ""16.7"", ""gps_mag_var_dir"": ""W"", ""gps_speed_on_ground"": 16.8, ""gps_true_course"": 92.0}",2025-02-16T23:43:06
6025,1934765.0,"{""egu"": {""data"": [335.5625, 12.9296875, 349.546875, 3.4453125, 343.734375, 14.2734375, 221.125, 0.5004887585532747], ""timestamp"": ""2025-02-16T23:43:06.410037+00:00""}, ""cab"": {""data"": [""N0"", ""MARCHA"", ""0"", 69, 48], ""timestamp"": ""2025-02-16T23:43:06.410037+00:00""}, ""exc"": {""data"": [5.0, 4.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1024.0, 0.0, 1.0], ""timestamp"": ""2025-02-16T23:43:06.410037+00:00""}}","{""gps_timestamp"": ""2025-02-16T23:43:06"", ""gps_status"": ""A"", ""gps_lat"": -19.494438683333332, ""gps_lon"": -46.48582295, ""gps_mag_variation"": ""16.7"", ""gps_mag_var_dir"": ""W"", ""gps_speed_on_ground"": 16.8, ""gps_true_course"": 89.6}",2025-02-16T23:43:07
6025,1934766.0,"{""egu"": {""data"": [334.6875, 12.9296875, 349.546875, 3.4921875, 343.40625, 14.3046875, 221.875, 0.5004887585532747], ""timestamp"": ""2025-02-16T23:43:07.427678+00:00""}, ""cab"": {""data"": [""N0"", ""MARCHA"", ""0"", 69, 48], ""timestamp"": ""2025-02-16T23:43:07.427678+00:00""}, ""exc"": {""data"": [5.0, 4.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1024.0, 0.0, 1.0], ""timestamp"": ""2025-02-16T23:43:07.427678+00:00""}}","{""gps_timestamp"": ""2025-02-16T23:43:07"", ""gps_status"": ""A"", ""gps_lat"": -19.49443825, ""gps_lon"": -46.48574073333333, ""gps_mag_variation"": ""16.7"", ""gps_mag_var_dir"": ""W"", ""gps_speed_on_ground"": 16.5, ""gps_true_course"": 91.4}",2025-02-16T23:43:08
6025,1934767.0,"{""egu"": {""data"": [335.5625, 12.7421875, 349.546875, 3.5, 342.921875, 14.3046875, 219.5, 0.5004887585532747], ""timestamp"": ""2025-02-16T23:43:08.441915+00:00""}, ""cab"": {""data"": [""N0"", ""MARCHA"", ""0"", 69, 48], ""timestamp"": ""2025-02-16T23:43:08.441915+00:00""}, ""exc"": {""data"": [5.0, 4.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1024.0, 0.0, 1.0], ""timestamp"": ""2025-02-16T23:43:08.441915+00:00""}}","{""gps_timestamp"": ""2025-02-16T23:43:08"", ""gps_status"": ""A"", ""gps_lat"": -19.4944417, ""gps_lon"": -46.485660083333336, ""gps_mag_variation"": ""16.7"", ""gps_mag_var_dir"": ""W"", ""gps_speed_on_ground"": 16.6, ""gps_true_course"": 93.3}",2025-02-16T23:43:09
6025,1934768.0,"{""egu"": {""data"": [335.0625, 13.015625, 349.546875, 3.515625, 343.25, 14.3046875, 216.375, 0.5004887585532747], ""timestamp"": ""2025-02-16T23:43:09.452328+00:00""}, ""cab"": {""data"": [""N0"", ""MARCHA"", ""0"", 69, 48], ""timestamp"": ""2025-02-16T23:43:09.452328+00:00""}, ""exc"": {""data"": [5.0, 4.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1024.0, 0.0, 1.0], ""timestamp"": ""2025-02-16T23:43:09.452328+00:00""}}","{""gps_timestamp"": ""2025-02-16T23:43:09"", ""gps_status"": ""A"", ""gps_lat"": -19.494440583333333, ""gps_lon"": -46.485577033333335, ""gps_mag_variation"": ""16.7"", ""gps_mag_var_dir"": ""W"", ""gps_speed_on_ground"": 16.6, ""gps_true_course"": 89.6}",2025-02-16T23:43:10
6025,1934769.0,"{""egu"": {""data"": [334.9375, 12.7421875, 349.546875, 3.4921875, 343.25, 14.2734375, 216.375, 0.5004887585532747], ""timestamp"": ""2025-02-16T23:43:10.465570+00:00""}, ""cab"": {""data"": [""N0"", ""MARCHA"", ""0"", 69, 48], ""timestamp"": ""2025-02-16T23:43:10.465570+00:00""}, ""exc"": {""data"": [5.0, 4.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1024.0, 0.0, 1.0], ""timestamp"": ""2025-02-16T23:43:10.465570+00:00""}}","{""gps_timestamp"": ""2025-02-16T23:43:10"", ""gps_status"": ""A"", ""gps_lat"": -19.494439466666666, ""gps_lon"": -46.48549606666667, ""gps_mag_variation"": ""16.7"", ""gps_mag_var_dir"": ""W"", ""gps_speed_on_ground"": 16.8, ""gps_true_course"": 90.7}",2025-02-16T23:43:11
6025,1934770.0,"{""egu"": {""data"": [335.0625, 12.7421875, 349.546875, 3.515625, 343.109375, 14.2421875, 218.25, 0.5004887585532747], ""timestamp"": ""2025-02-16T23:43:11.486382+00:00""}, ""cab"": {""data"": [""N0"", ""MARCHA"", ""0"", 69, 48], ""timestamp"": ""2025-02-16T23:43:11.486382+00:00""}, ""exc"": {""data"": [5.0, 4.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1024.0, 0.0, 1.0], ""timestamp"": ""2025-02-16T23:43:11.486382+00:00""}}","{""gps_timestamp"": ""2025-02-16T23:43:11"", ""gps_status"": ""A"", ""gps_lat"": -19.494441083333335, ""gps_lon"": -46.4854103, ""gps_mag_variation"": ""16.7"", ""gps_mag_var_dir"": ""W"", ""gps_speed_on_ground"": 16.7, ""gps_true_course"": 91.6}",2025-02-16T23:43:12
6025,1934771.0,"{""egu"": {""data"": [335.5, 12.953125, 349.546875, 3.53125, 343.25, 14.2734375, 219.25, 0.5004887585532747], ""timestamp"": ""2025-02-16T23:43:12.490234+00:00""}, ""cab"": {""data"": [""N0"", ""MARCHA"", ""0"", 69, 48], ""timestamp"": ""2025-02-16T23:43:12.490234+00:00""}, ""exc"": {""data"": [5.0, 3.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1024.0, 0.0, 1.0], ""timestamp"": ""2025-02-16T23:43:12.490234+00:00""}}","{""gps_timestamp"": ""2025-02-16T23:43:12"", ""gps_status"": ""A"", ""gps_lat"": -19.494448783333333, ""gps_lon"": -46.485327033333334, ""gps_mag_variation"": ""16.7"", ""gps_mag_var_dir"": ""W"", ""gps_speed_on_ground"": 16.9, ""gps_true_course"": 96.3}",2025-02-16T23:43:13
